93687,Krishnamurty Perumal,Male,21,18-25,174,78,IND,1968,Hockey,Hockey Men's Hockey,Bronze
93687,Krishnamurty Perumal,Male,24,18-25,174,78,IND,1972,Hockey,Hockey Men's Hockey,Bronze
93693,Boris Perui,Male,24,18-25,181,73,TCH,1964,Volleyball,Volleyball Men's Volleyball,Silver
93694,eljko Perui,Male,24,18-25,169,64,YUG,1960,Football,Football Men's Football,Gold
93696,Luigina Perversi,Female,14,Under 18,,,ITA,1928,Gymnastics,Gymnastics Women's Team All-Around,Silver
93698,Franois Pervis,Male,31,Over 30,180,88,FRA,2016,Cycling,Cycling Men's Team Sprint,Bronze
85283,"Edgar ""Ed"" Nemir",Male,22,18-25,,,USA,1932,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Individual All-Around,Silver
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Team All-Around,Gold
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Horse Vault,Gold
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
85286,Aleksey Yuryevich Nemov,Male,20,18-25,174,75,RUS,1996,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Individual All-Around,Gold
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Team All-Around,Bronze
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Floor Exercise,Silver
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
85286,Aleksey Yuryevich Nemov,Male,24,18-25,174,75,RUS,2000,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
67519,Philippe Le Hardy de Beaulieu,Male,,,,,BEL,1906,Fencing,"Fencing Men's epee, Team",Bronze
67519,Philippe Le Hardy de Beaulieu,Male,,,,,BEL,1912,Fencing,"Fencing Men's epee, Individual",Bronze
67519,Philippe Le Hardy de Beaulieu,Male,,,,,BEL,1920,Fencing,"Fencing Men's epee, Team",Silver
67522,Gerard Willem le Heux,Male,43,Over 30,,,NED,1928,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
67525,Jacques le Lavasseur,Male,,,,,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
71969,Ralf Lbke,Male,23,18-25,192,80,FRG,1988,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
71973,"Walter Harry ""Chip"" Lubsen, Jr.",Male,29,25-30,195,89,USA,1984,Rowing,Rowing Men's Coxed Eights,Silver
71981,Ricardo Samuel Lucarelli Santos de Souza,Male,24,18-25,195,79,BRA,2016,Volleyball,Volleyball Men's Volleyball,Gold
85288,Vladimir Konstantinovich Nemshilov,Male,19,18-25,180,72,URS,1968,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
85294,Milan Nenadi,Male,29,25-30,176,78,YUG,1972,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
85296,Franco Nenci,Male,21,18-25,,,ITA,1956,Boxing,Boxing Men's Light-Welterweight,Silver
75619,Paul-Ren Martin,Male,22,18-25,175,63,SUI,1924,Athletics,Athletics Men's 800 metres,Silver
93699,Oleksandr Ivanovych Perviy,Male,19,18-25,167,74,URS,1980,Weightlifting,Weightlifting Men's Middleweight,Silver
93700,Ilya Alekseyevich Pervukhin,Male,21,18-25,183,82,RUS,2012,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
93702,Anton Perwein,Male,24,18-25,,,AUT,1936,Handball,Handball Men's Handball,Silver
93706,Nikolaj Pealov,Male,22,18-25,167,69,BUL,1992,Weightlifting,Weightlifting Men's Featherweight,Silver
93706,Nikolaj Pealov,Male,26,25-30,167,69,BUL,1996,Weightlifting,Weightlifting Men's Bantamweight,Bronze
93706,Nikolaj Pealov,Male,30,25-30,167,69,CRO,2000,Weightlifting,Weightlifting Men's Featherweight,Gold
93706,Nikolaj Pealov,Male,34,Over 30,167,69,CRO,2004,Weightlifting,Weightlifting Men's Lightweight,Bronze
96390,Vra Pospilov-Cechlov,Female,25,18-25,176,77,CZE,2004,Athletics,Athletics Women's Discus Throw,Bronze
96393,Stphanie Fabienne Possamai,Female,28,25-30,172,78,FRA,2008,Judo,Judo Women's Half-Heavyweight,Bronze
96399,Alise Rose Post,Female,25,18-25,158,58,USA,2016,Cycling,Cycling Women's BMX,Silver
96401,Sndor Psta,Male,35,Over 30,,,HUN,1924,Fencing,"Fencing Men's Foil, Team",Bronze
96401,Sndor Psta,Male,35,Over 30,,,HUN,1924,Fencing,"Fencing Men's Sabre, Individual",Gold
96401,Sndor Psta,Male,35,Over 30,,,HUN,1924,Fencing,"Fencing Men's Sabre, Team",Silver
96402,John Musgrove Postans,Male,,,,,GBR,1908,Shooting,"Shooting Men's Trap, Team",Gold
71982,Vittorio Lucarelli,Male,28,25-30,,,ITA,1956,Fencing,"Fencing Men's Foil, Team",Gold
71984,Lucas Pezzini Leiva,Male,21,18-25,179,74,BRA,2008,Football,Football Men's Football,Bronze
71985,Lucas Rodrigues Moura da Silva,Male,19,18-25,173,81,BRA,2012,Football,Football Men's Football,Silver
71992,Carlos Lucas Manrquez,Male,26,25-30,168,75,CHI,1956,Boxing,Boxing Men's Light-Heavyweight,Bronze
71996,Jerry Ray Lucas,Male,20,18-25,203,103,USA,1960,Basketball,Basketball Men's Basketball,Gold
77929,Louise McPaul-Currey,Female,27,25-30,175,68,AUS,1996,Athletics,Athletics Women's Javelin Throw,Silver
77930,Holly S. McPeak (-Armato),Female,35,Over 30,170,62,USA,2004,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,Bronze
77934,Duncan McPhee,Male,27,25-30,,,GBR,1920,Athletics,"Athletics Men's 3,000 metres, Team",Silver
75624,Rzvan Constantin Martin,Male,20,18-25,158,69,ROU,2012,Weightlifting,Weightlifting Men's Lightweight,Bronze
75626,Reginald George Warren Martin,Male,20,18-25,,,GBR,1908,Lacrosse,Lacrosse Men's Lacrosse,Silver
75633,Roxbert Martin,Male,26,25-30,178,66,JAM,1996,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
80236,Danny Miranda Agramonte,Male,25,18-25,178,92,CUB,2004,Baseball,Baseball Men's Baseball,Gold
77940,Paige Arielle McPherson,Female,21,18-25,173,65,USA,2012,Taekwondo,Taekwondo Women's Welterweight,Bronze
77942,Stephenie Ann McPherson,Female,27,25-30,173,57,JAM,2016,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
96403,Jan Marcus Posthuma,Male,29,25-30,209,96,NED,1992,Volleyball,Volleyball Men's Volleyball,Silver
96403,Jan Marcus Posthuma,Male,33,Over 30,209,96,NED,1996,Volleyball,Volleyball Men's Volleyball,Gold
96409,Francesco Postiglione,Male,24,18-25,186,81,ITA,1996,Water Polo,Water Polo Men's Water Polo,Bronze
102037,Jean-Philippe Rohr,Male,22,18-25,174,69,FRA,1984,Football,Football Men's Football,Gold
80246,Lorena Miranda Dorado,Female,21,18-25,174,73,ESP,2012,Water Polo,Water Polo Women's Water Polo,Silver
74331,Peter Garth Mander,Male,28,25-30,181,84,NZL,1956,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
74340,Duan Mandi,Male,18,18-25,202,105,SRB,2012,Water Polo,Water Polo Men's Water Polo,Bronze
88088,Raisa Mirelda O'Farrill Bolanos,Female,24,18-25,183,74,CUB,1996,Volleyball,Volleyball Women's Volleyball,Gold
69693,Zenon Licznerski,Male,25,18-25,182,74,POL,1980,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
69696,Jimmy Alexander Lidberg,Male,30,25-30,191,96,SWE,2012,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
69698,Cedric Haswell Liddell,Male,19,18-25,,,CAN,1932,Rowing,Rowing Men's Coxed Eights,Bronze
69699,Eric Henry Liddell,Male,22,18-25,173,68,GBR,1924,Athletics,Athletics Men's 200 metres,Bronze
69699,Eric Henry Liddell,Male,22,18-25,173,68,GBR,1924,Athletics,Athletics Men's 400 metres,Gold
69701,"Edward J. ""Ed"" Liddie",Male,25,18-25,172,60,USA,1984,Judo,Judo Men's Extra-Lightweight,Bronze
90996,Mikls Pncsics,Male,24,18-25,185,80,HUN,1968,Football,Football Men's Football,Gold
90996,Mikls Pncsics,Male,28,25-30,185,80,HUN,1972,Football,Football Men's Football,Silver
74340,Duan Mandi,Male,22,18-25,202,105,SRB,2016,Water Polo,Water Polo Men's Water Polo,Gold
74342,Milica Mandi,Female,20,18-25,180,72,SRB,2012,Taekwondo,Taekwondo Women's Heavyweight,Gold
74348,Franz Mandl,Male,19,18-25,,,AUT,1936,Football,Football Men's Football,Silver
74351,Beat Mndli,Male,30,25-30,182,72,SUI,2000,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
72003,Richard Saville Clement Lucas,Male,23,18-25,,84,GBR,1920,Rowing,Rowing Men's Coxed Eights,Silver
72011,Andrea Lucchetta,Male,21,18-25,194,82,ITA,1984,Volleyball,Volleyball Men's Volleyball,Bronze
72013,Pier Paolo Lucchetta,Male,21,18-25,198,99,ITA,1984,Volleyball,Volleyball Men's Volleyball,Bronze
72014,Hctor Pablo Lucchetti,Male,23,18-25,,,ARG,1928,Fencing,"Fencing Men's Foil, Team",Bronze
99206,Ravdangiin Davaadalai,Male,26,25-30,171,71,MGL,1980,Judo,Judo Men's Lightweight,Bronze
91014,Gianfranco Pandolfini,Male,27,25-30,,,ITA,1948,Water Polo,Water Polo Men's Water Polo,Gold
82863,Eric C. Mueller,Male,25,18-25,200,102,USA,1996,Rowing,Rowing Men's Quadruple Sculls,Silver
85311,August Neo,Male,28,25-30,,90,EST,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
85311,August Neo,Male,28,25-30,,90,EST,1936,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
72015,Luis Alberto Lucchetti,Male,25,18-25,,,ARG,1928,Fencing,"Fencing Men's Foil, Team",Bronze
72017,Vittorio Lucchetti,Male,25,18-25,,,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
72017,Vittorio Lucchetti,Male,29,25-30,,,ITA,1924,Gymnastics,Gymnastics Men's Team All-Around,Gold
82874,Lori-Ann Muenzer,Female,38,Over 30,175,80,CAN,2004,Cycling,Cycling Women's Sprint,Gold
82877,Camille-Marie Manuella Muffat,Female,22,18-25,183,71,FRA,2012,Swimming,Swimming Women's 200 metres Freestyle,Silver
82877,Camille-Marie Manuella Muffat,Female,22,18-25,183,71,FRA,2012,Swimming,Swimming Women's 400 metres Freestyle,Gold
82877,Camille-Marie Manuella Muffat,Female,22,18-25,183,71,FRA,2012,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
74365,Ferdinando Mandrini,Male,22,18-25,,,ITA,1920,Gymnastics,Gymnastics Men's Team All-Around,Gold
74365,Ferdinando Mandrini,Male,26,25-30,,,ITA,1924,Gymnastics,Gymnastics Men's Team All-Around,Gold
74367,Marco Antonio Mandruzzato,Male,25,18-25,,,ITA,1948,Fencing,"Fencing Men's epee, Team",Silver
75635,"Stephen Alexander ""Sam"" Martin",Male,25,18-25,182,76,GBR,1984,Hockey,Hockey Men's Hockey,Bronze
75635,"Stephen Alexander ""Sam"" Martin",Male,29,25-30,182,76,GBR,1988,Hockey,Hockey Men's Hockey,Gold
75641,Tony Martin,Male,27,25-30,186,75,GER,2012,Cycling,Cycling Men's Individual Time Trial,Silver
75646,Walden Charles Martin,Male,20,18-25,,,USA,1912,Cycling,"Cycling Men's Road Race, Team",Bronze
72025,Jean-Michel Lucenay,Male,38,Over 30,186,78,FRA,2016,Fencing,"Fencing Men's epee, Team",Gold
82879,John Mugabi,Male,20,18-25,175,67,UGA,1980,Boxing,Boxing Men's Welterweight,Silver
82888,Ljiljana Mugoa (-Vuevi),Female,22,18-25,181,75,YUG,1984,Handball,Handball Women's Handball,Gold
82890,Svetlana Mugoa-Anti,Female,19,18-25,187,78,YUG,1984,Handball,Handball Women's Handball,Gold
93709,John Anthony Pescatore,Male,24,18-25,188,84,USA,1988,Rowing,Rowing Men's Coxed Eights,Bronze
93715,Uwe Peschel,Male,23,18-25,179,72,GER,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
93717,Benot Pierre Peschier,Male,24,18-25,177,75,FRA,2004,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Gold
75648,Charles William Martin,Male,71,Over 30,,,FRA,1900,Sailing,Sailing Mixed 0.5-1 Ton,Silver
75648,Charles William Martin,Male,71,Over 30,,,FRA,1900,Sailing,Sailing Mixed 0.5-1 Ton,Bronze
75649,William Brittain Martin,Male,41,Over 30,,,USA,1908,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Gold
75656,Lisa Frances Martin-Ondieki (-O'Dea),Female,28,25-30,168,47,AUS,1988,Athletics,Athletics Women's Marathon,Silver
67525,Jacques le Lavasseur,Male,,,,,FRA,1900,Sailing,Sailing Mixed 2-3 Ton,Gold
67534,Roger Jean Le Nizerhy,Male,19,18-25,,,FRA,1936,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
82900,Dalilah Muhammad,Female,26,25-30,173,55,USA,2016,Athletics,Athletics Women's 400 metres Hurdles,Gold
82901,Ibtihaj Muhammad,Female,30,25-30,170,68,USA,2016,Fencing,"Fencing Women's Sabre, Team",Bronze
82902,Lutalo Massop-Muhammad,Male,21,18-25,191,80,GBR,2012,Taekwondo,Taekwondo Men's Welterweight,Bronze
82902,Lutalo Massop-Muhammad,Male,25,18-25,191,80,GBR,2016,Taekwondo,Taekwondo Men's Welterweight,Silver
77950,Tony McQuay,Male,22,18-25,181,72,USA,2012,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
77950,Tony McQuay,Male,26,25-30,181,72,USA,2016,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
77952,Rachel Jane McQuillan,Female,20,18-25,174,61,AUS,1992,Tennis,Tennis Women's Doubles,Bronze
77954,Francine McRae,Female,27,25-30,172,64,AUS,1996,Softball,Softball Women's Softball,Bronze
77955,James McRae,Male,25,18-25,193,93,AUS,2012,Rowing,Rowing Men's Quadruple Sculls,Bronze
77955,James McRae,Male,29,25-30,193,93,AUS,2016,Rowing,Rowing Men's Quadruple Sculls,Silver
93723,Karel Peek,Male,24,18-25,,,TCH,1920,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
93724,Guglielmo Pesenti,Male,22,18-25,,,ITA,1956,Cycling,Cycling Men's Sprint,Silver
93735,Henri Franois Peslier,Male,20,18-25,,,FRA,1900,Water Polo,Water Polo Men's Water Polo,Bronze
93736,Pesloy,Male,,,,,FRA,1900,Water Polo,Water Polo Men's Water Polo,Bronze
93742,Giorgio Pessina,Male,25,18-25,167,,ITA,1928,Fencing,"Fencing Men's Foil, Team",Gold
93742,Giorgio Pessina,Male,30,25-30,167,,ITA,1932,Fencing,"Fencing Men's Foil, Team",Silver
93746,Rodrigo de Paula Pessoa,Male,23,18-25,177,67,BRA,1996,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
93746,Rodrigo de Paula Pessoa,Male,27,25-30,177,67,BRA,2000,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
77965,"Richard ""Dick"" McTaggart",Male,21,18-25,175,60,GBR,1956,Boxing,Boxing Men's Lightweight,Gold
77965,"Richard ""Dick"" McTaggart",Male,24,18-25,175,60,GBR,1960,Boxing,Boxing Men's Lightweight,Bronze
96420,Lyudmila Grigoryevna Postnova,Female,23,18-25,183,76,RUS,2008,Handball,Handball Women's Handball,Silver
96423,Serhiy Albertovych Postriekhin,Male,22,18-25,195,87,URS,1980,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
96423,Serhiy Albertovych Postriekhin,Male,22,18-25,195,87,URS,1980,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
96424,Yury Viktorovich Postrigay,Male,23,18-25,185,81,RUS,2012,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
67538,Erwann Lucien douard Le Pchoux,Male,34,Over 30,171,65,FRA,2016,Fencing,"Fencing Men's Foil, Team",Silver
67539,milie Le Pennec,Female,16,Under 18,150,37,FRA,2004,Gymnastics,Gymnastics Women's Uneven Bars,Gold
67543,"Alexandra Johanna ""Sandra"" Le Poole",Female,24,18-25,164,65,NED,1984,Hockey,Hockey Women's Hockey,Gold
80252,Patricia Noriko Miranda,Female,25,18-25,152,48,USA,2004,Wrestling,"Wrestling Women's Flyweight, Freestyle",Bronze
69716,Alf Lie,Male,25,18-25,,,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
67551,Jhan Raymond Le Roy,Male,36,Over 30,173,63,FRA,1960,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
102055,Pedro Roig Junyent,Male,21,18-25,169,74,ESP,1960,Hockey,Hockey Men's Hockey,Bronze
93746,Rodrigo de Paula Pessoa,Male,31,Over 30,177,67,BRA,2004,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
93751,Pierre-Alexis Pessonneaux,Male,24,18-25,181,70,FRA,2012,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
88101,Hendrik Karel Offerhaus,Male,24,18-25,,,NED,1900,Rowing,Rowing Men's Coxed Eights,Bronze
88104,Raymond Ren Offner,Male,20,18-25,178,73,FRA,1948,Basketball,Basketball Men's Basketball,Silver
88115,Stine Bredal Oftedal,Female,24,18-25,168,65,NOR,2016,Handball,Handball Women's Handball,Bronze
93754,Ariel Osvaldo Pestano Valdes,Male,26,25-30,175,78,CUB,2000,Baseball,Baseball Men's Baseball,Silver
93754,Ariel Osvaldo Pestano Valdes,Male,30,25-30,175,78,CUB,2004,Baseball,Baseball Men's Baseball,Gold
93754,Ariel Osvaldo Pestano Valdes,Male,34,Over 30,175,78,CUB,2008,Baseball,Baseball Men's Baseball,Silver
93757,Paul Karoly Pesthy,Male,26,25-30,180,68,USA,1964,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
91015,Tullio Pandolfini,Male,33,Over 30,,,ITA,1948,Water Polo,Water Polo Men's Water Polo,Gold
91028,Umberto Panerai,Male,23,18-25,187,80,ITA,1976,Water Polo,Water Polo Men's Water Polo,Silver
99227,Jrgen Christian Jensen Ravn,Male,28,25-30,,,DEN,1912,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
99232,Vatemo Ravouvou,Male,26,25-30,171,81,FIJ,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
99237,Savenaca Rawaca,Male,24,18-25,189,105,FIJ,2016,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Gold
85320,Karel Nepomuck,Male,25,18-25,173,71,TCH,1964,Football,Football Men's Football,Silver
85325,Milan (Mihajlo) Nerali,Male,25,18-25,,,AUT,1900,Fencing,"Fencing Men's Sabre, Masters, Individual",Bronze
85330,Nergin Enkhbat,Male,26,25-30,174,60,MGL,1988,Boxing,Boxing Men's Lightweight,Bronze
91035,Aleksandr Vasilyevich Panfilov,Male,19,18-25,175,75,URS,1980,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
91038,Pang Jiaying,Female,19,18-25,178,64,CHN,2004,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
91038,Pang Jiaying,Female,23,18-25,178,64,CHN,2008,Swimming,Swimming Women's 200 metres Freestyle,Bronze
91038,Pang Jiaying,Female,23,18-25,178,64,CHN,2008,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
91038,Pang Jiaying,Female,23,18-25,178,64,CHN,2008,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
91043,Pang Wei,Male,22,18-25,178,77,CHN,2008,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
91043,Pang Wei,Male,30,25-30,178,77,CHN,2016,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
102068,Clemente Rojas Prez,Male,19,18-25,170,56,COL,1972,Boxing,Boxing Men's Featherweight,Bronze
102073,Ibrahim Rojas Blanco,Male,24,18-25,168,72,CUB,2000,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
102073,Ibrahim Rojas Blanco,Male,28,25-30,168,72,CUB,2004,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
77975,"Donald James ""Don"" McWatters",Male,23,18-25,183,79,AUS,1964,Hockey,Hockey Men's Hockey,Bronze
77976,Douglas McWhirter,Male,25,18-25,,,GBR,1912,Football,Football Men's Football,Gold
77979,Jackie Amanda McWilliams,Female,28,25-30,160,65,GBR,1992,Hockey,Hockey Women's Hockey,Bronze
77980,Mhmmdrsul Mcidov,Male,25,18-25,190,91,AZE,2012,Boxing,Boxing Men's Super-Heavyweight,Bronze
85335,Romeo Neri,Male,25,18-25,167,,ITA,1928,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
85335,Romeo Neri,Male,29,25-30,167,,ITA,1932,Gymnastics,Gymnastics Men's Individual All-Around,Gold
85335,Romeo Neri,Male,29,25-30,167,,ITA,1932,Gymnastics,Gymnastics Men's Team All-Around,Gold
85335,Romeo Neri,Male,29,25-30,167,,ITA,1932,Gymnastics,Gymnastics Men's Parallel Bars,Gold
72033,Rosario Luchetti,Female,24,18-25,160,57,ARG,2008,Hockey,Hockey Women's Hockey,Bronze
72033,Rosario Luchetti,Female,28,25-30,160,57,ARG,2012,Hockey,Hockey Women's Hockey,Silver
74389,Ivan Manev,Male,29,25-30,179,82,BUL,1980,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
74391,Vladimir Petrovich Maneyev,Male,24,18-25,,,URS,1956,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
74392,Somaya Muttana Maneypandey,Male,21,18-25,179,69,IND,1980,Hockey,Hockey Men's Hockey,Gold
74393,Maiya Salakharovna Maneza,Female,26,25-30,161,63,KAZ,2012,Weightlifting,Weightlifting Women's Middleweight,Gold
77986,Richard John Hannay Meade,Male,29,25-30,183,70,GBR,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
77986,Richard John Hannay Meade,Male,33,Over 30,183,70,GBR,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
77986,Richard John Hannay Meade,Male,33,Over 30,183,70,GBR,1972,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
77988,Earle Elmer Meadows,Male,23,18-25,185,72,USA,1936,Athletics,Athletics Men's Pole Vault,Gold
77993,Aileen Aletha Meagher,Female,25,18-25,168,55,CAN,1936,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
77995,Mary Terstegge Meagher (-Plant),Female,19,18-25,172,64,USA,1984,Swimming,Swimming Women's 100 metres Butterfly,Gold
77995,Mary Terstegge Meagher (-Plant),Female,19,18-25,172,64,USA,1984,Swimming,Swimming Women's 200 metres Butterfly,Gold
77995,Mary Terstegge Meagher (-Plant),Female,19,18-25,172,64,USA,1984,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
72050,Charles James Luck,Male,25,18-25,,,GBR,1912,Gymnastics,Gymnastics Men's Team All-Around,Bronze
72052,Hans-Joachim Lck,Male,23,18-25,191,88,GDR,1976,Rowing,Rowing Men's Coxed Eights,Gold
72058,Jrg Lucke,Male,26,25-30,193,91,GDR,1968,Rowing,Rowing Men's Coxless Pairs,Gold
72058,Jrg Lucke,Male,30,25-30,193,91,GDR,1972,Rowing,Rowing Men's Coxed Pairs,Gold
72059,Robert Lcken,Male,31,Over 30,199,95,NED,2016,Rowing,Rowing Men's Coxed Eights,Bronze
82908,Usman Edu Muhammed,Male,22,18-25,169,78,NGR,2016,Football,Football Men's Football,Bronze
82910,"Charlotte ""Lotte"" Mhe (-Eschrich)",Female,18,18-25,,,GER,1928,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
77995,Mary Terstegge Meagher (-Plant),Female,23,18-25,172,64,USA,1988,Swimming,Swimming Women's 200 metres Butterfly,Bronze
77995,Mary Terstegge Meagher (-Plant),Female,23,18-25,172,64,USA,1988,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
77999,"Philomena Alecia ""Bonnie"" Mealing (-Johnston)",Female,19,18-25,160,,AUS,1932,Swimming,Swimming Women's 100 metres Backstroke,Silver
74400,Rudolf Mang,Male,22,18-25,180,123,FRG,1972,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver
74401,Vronique Mang,Female,19,18-25,173,59,FRA,2004,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
82933,Marianne Muis,Female,20,18-25,186,73,NED,1988,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
69722,Rolf Lie,Male,22,18-25,,,NOR,1912,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
69723,Sigve Lie,Male,42,Over 30,,,NOR,1948,Sailing,Sailing Mixed Three Person Keelboat,Gold
69723,Sigve Lie,Male,46,Over 30,,,NOR,1952,Sailing,Sailing Mixed Three Person Keelboat,Gold
69726,"Thomas John ""Tom"" Lieb",Male,24,18-25,190,98,USA,1924,Athletics,Athletics Men's Discus Throw,Bronze
69728,Nancy Lizabeth Lieberman (-Cline-),Female,18,18-25,175,63,USA,1976,Basketball,Basketball Women's Basketball,Silver
69730,Matthias Liebers,Male,21,18-25,180,79,GDR,1980,Football,Football Men's Football,Silver
69732,Gertrude Liebhart (-Fischer),Female,23,18-25,,,AUT,1952,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
78004,"Helen Meany (-Balfe, -Gravis)",Female,23,18-25,152,,USA,1928,Diving,Diving Women's Springboard,Gold
78005,Anna Maree Devenish Meares,Female,20,18-25,165,70,AUS,2004,Cycling,Cycling Women's Sprint,Bronze
78005,Anna Maree Devenish Meares,Female,20,18-25,165,70,AUS,2004,Cycling,Cycling Women's 500 metres Time Trial,Gold
78005,Anna Maree Devenish Meares,Female,24,18-25,165,70,AUS,2008,Cycling,Cycling Women's Sprint,Silver
78005,Anna Maree Devenish Meares,Female,28,25-30,165,70,AUS,2012,Cycling,Cycling Women's Sprint,Gold
78005,Anna Maree Devenish Meares,Female,28,25-30,165,70,AUS,2012,Cycling,Cycling Women's Team Sprint,Bronze
78005,Anna Maree Devenish Meares,Female,32,Over 30,165,70,AUS,2016,Cycling,Cycling Women's Keirin,Bronze
78006,"Christopher James ""Chris"" Mears",Male,23,18-25,172,70,GBR,2016,Diving,Diving Men's Synchronized Springboard,Gold
96436,Viktor Yakovlevich Potapov,Male,25,18-25,174,74,URS,1972,Sailing,Sailing Mixed One Person Dinghy,Bronze
75665,Sydney Martineau,Male,49,Over 30,,,GBR,1912,Fencing,"Fencing Men's epee, Team",Silver
75668,Jnos Martinek,Male,23,18-25,175,69,HUN,1988,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
75668,Jnos Martinek,Male,23,18-25,175,69,HUN,1988,Modern Pentathlon,Modern Pentathlon Men's Team,Gold
