9450,Clmence Beikes,Female,28,25-30,180,71,FRA,2012,Basketball,Basketball Women's Basketball,Silver
11634,Lon Binoche,Male,21,18-25,,,FRA,1900,Rugby,Rugby Men's Rugby,Gold
11639,Ibrahim Biogradli,Male,25,18-25,,,YUG,1956,Football,Football Men's Football,Silver
11642,"Matthew Nicholas ""Matt"" Biondi",Male,18,18-25,200,95,USA,1984,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
11642,"Matthew Nicholas ""Matt"" Biondi",Male,22,18-25,200,95,USA,1988,Swimming,Swimming Men's 50 metres Freestyle,Gold
11642,"Matthew Nicholas ""Matt"" Biondi",Male,22,18-25,200,95,USA,1988,Swimming,Swimming Men's 100 metres Freestyle,Gold
13748,Lorenzo Bosisio,Male,24,18-25,176,75,ITA,1968,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
13749,Slobodan Bokan,Male,25,18-25,197,87,SCG,2000,Volleyball,Volleyball Men's Volleyball,Gold
13750,Vujadin Bokov,Male,21,18-25,,,YUG,1952,Football,Football Men's Football,Silver
13752,Miho Bokovi,Male,29,25-30,196,96,CRO,2012,Water Polo,Water Polo Men's Water Polo,Gold
13753,Tijana Bokovi,Female,19,18-25,193,82,SRB,2016,Volleyball,Volleyball Women's Volleyball,Silver
13755,Francisco Javier Bosma Mnguez,Male,34,Over 30,190,86,ESP,2004,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver
14829,Ronald Gilchrist Brebner,Male,30,25-30,,,GBR,1912,Football,Football Men's Football,Gold
9458,Jos Manuel Beirn Lozano,Male,25,18-25,196,90,ESP,1984,Basketball,Basketball Men's Basketball,Silver
9460,Elizabeth Lyon Beisel,Female,19,18-25,168,68,USA,2012,Swimming,Swimming Women's 200 metres Backstroke,Bronze
9460,Elizabeth Lyon Beisel,Female,19,18-25,168,68,USA,2012,Swimming,Swimming Women's 400 metres Individual Medley,Silver
9462,Ludwig Beisiegel,Male,24,18-25,,,GER,1936,Hockey,Hockey Men's Hockey,Silver
9464,Ruth Beita Vila,Female,37,Over 30,191,72,ESP,2016,Athletics,Athletics Women's High Jump,Gold
14834,Torsten Brcht (Oehmigen-),Male,24,18-25,178,78,GDR,1988,Judo,Judo Men's Half-Middleweight,Bronze
14835,Julius Emil Jrgen Brecht,Male,20,18-25,175,70,GER,1960,Fencing,"Fencing Men's Foil, Team",Bronze
14840,Andreas Bang Brecke,Male,32,Over 30,,,NOR,1912,Sailing,Sailing Mixed 8 metres,Gold
14840,Andreas Bang Brecke,Male,40,Over 30,,,NOR,1920,Sailing,Sailing Mixed 6 metres,Gold
9468,Cristian Bejarano Bentez,Male,19,18-25,170,60,MEX,2000,Boxing,Boxing Men's Lightweight,Bronze
14843,Henry Skillman Breckinridge,Male,33,Over 30,185,,USA,1920,Fencing,"Fencing Men's Foil, Team",Bronze
14845,Giovanni Battista Breda,Male,33,Over 30,177,72,ITA,1964,Fencing,"Fencing Men's epee, Team",Silver
14846,Annelies Bredael,Female,27,25-30,175,68,BEL,1992,Rowing,Rowing Women's Single Sculls,Silver
14847,Charlotte Bredahl (-Baker),Female,35,Over 30,175,61,USA,1992,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
14862,Elaine Breeden (-Penrose),Female,19,18-25,180,73,USA,2008,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
14863,George Thomas Breen,Male,21,18-25,183,83,USA,1956,Swimming,Swimming Men's 400 metres Freestyle,Bronze
14863,George Thomas Breen,Male,21,18-25,183,83,USA,1956,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
14863,George Thomas Breen,Male,21,18-25,183,83,USA,1956,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
14863,George Thomas Breen,Male,25,18-25,183,83,USA,1960,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
14874,Bernard Brgeon,Male,22,18-25,167,68,FRA,1984,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
14874,Bernard Brgeon,Male,22,18-25,167,68,FRA,1984,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
14876,"James Steven ""Jim"" Bregman",Male,22,18-25,170,80,USA,1964,Judo,Judo Men's Middleweight,Bronze
14877,Louis Charles Brguet,Male,44,Over 30,,,FRA,1924,Sailing,Sailing Mixed 8 metres,Bronze
14886,Matthias Brehme,Male,25,18-25,169,63,GDR,1968,Gymnastics,Gymnastics Men's Team All-Around,Bronze
14886,Matthias Brehme,Male,29,25-30,169,63,GDR,1972,Gymnastics,Gymnastics Men's Team All-Around,Bronze
14889,Christina Brehmer-Lathan,Female,18,18-25,169,57,GDR,1976,Athletics,Athletics Women's 400 metres,Silver
14889,Christina Brehmer-Lathan,Female,18,18-25,169,57,GDR,1976,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
14889,Christina Brehmer-Lathan,Female,22,18-25,169,57,GDR,1980,Athletics,Athletics Women's 400 metres,Bronze
14889,Christina Brehmer-Lathan,Female,22,18-25,169,57,GDR,1980,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
14892,Dagmar Breiken-Bremer,Female,20,18-25,170,62,FRG,1984,Hockey,Hockey Women's Hockey,Silver
14897,Emil William Breitkreutz,Male,20,18-25,,,USA,1904,Athletics,Athletics Men's 800 metres,Bronze
14899,Karoline Charlotte Dyhre Breivang,Female,28,25-30,172,,NOR,2008,Handball,Handball Women's Handball,Gold
14899,Karoline Charlotte Dyhre Breivang,Female,32,Over 30,172,,NOR,2012,Handball,Handball Women's Handball,Gold
14900,Arno Breker,Male,36,Over 30,,,GER,1936,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Silver
14905,Mark Anthony Breland,Male,21,18-25,190,67,USA,1984,Boxing,Boxing Men's Welterweight,Gold
14909,Emiliano Brembilla,Male,25,18-25,185,78,ITA,2004,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
14919,Janice Lynn Bremner (-Birch),Female,22,18-25,177,65,CAN,1996,Synchronized Swimming,Synchronized Swimming Women's Team,Silver
14928,Daniela Brendel,Female,18,18-25,185,69,GER,1992,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
14929,Jakob Brendel,Male,24,18-25,,,GER,1932,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Gold
14929,Jakob Brendel,Male,28,25-30,,,GER,1936,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Bronze
14930,Sebastian Brendel,Male,24,18-25,192,92,GER,2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
14930,Sebastian Brendel,Male,28,25-30,192,92,GER,2016,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
14930,Sebastian Brendel,Male,28,25-30,192,92,GER,2016,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
14935,Niels Erling Emmanuel Brene,Male,51,Over 30,,,DEN,1948,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra",Bronze
14943,"William Thomas Edmund ""Billy"" Brennagh",Male,26,25-30,,98,CAN,1904,Lacrosse,Lacrosse Men's Lacrosse,Gold
14946,Michael Gene Brennan,Male,24,18-25,182,79,AUS,2000,Hockey,Hockey Men's Hockey,Bronze
14946,Michael Gene Brennan,Male,28,25-30,182,79,AUS,2004,Hockey,Hockey Men's Hockey,Gold
14947,"Patrick Joseph ""Paddy"" Brennan",Male,30,25-30,,,CAN,1908,Lacrosse,Lacrosse Men's Lacrosse,Gold
14949,Scott Michael Brennan,Male,25,18-25,193,89,AUS,2008,Rowing,Rowing Men's Double Sculls,Gold
14952,Gnther Brennecke,Male,29,25-30,,,GER,1956,Hockey,Hockey Men's Hockey,Bronze
14955,Bror Benedictus Bernhard Brenner,Male,56,Over 30,,,FIN,1912,Sailing,Sailing Mixed 10 metres,Silver
14958,Breno Vinicius Rodrigues Borges,Male,18,18-25,187,88,BRA,2008,Football,Football Men's Football,Bronze
14959,Bart Jan-Baptist Marie Brentjens,Male,27,25-30,188,79,NED,1996,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
14959,Bart Jan-Baptist Marie Brentjens,Male,35,Over 30,188,79,NED,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Bronze
15847,Olga Aleksandrovna Brusnikina,Female,21,18-25,169,55,RUS,2000,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
